瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
571,拳己,2018-12-22 12:00,10,218,2.6,0,,,41.3
571,拳己,2018-12-22 13:00,10.8,236.2,2.5,0,,,37.5
571,拳己,2018-12-22 14:00,10.8,264.1,1.5,0,,,43.2
571,拳己,2018-12-22 15:00,10,316,1.5,0,,,47.4
571,拳己,2018-12-22 16:00,8.6,343.5,2,0,,,48.8
571,拳己,2018-12-22 17:00,6.4,338.4,1.6,0,,,56.5
571,拳己,2018-12-22 18:00,5.7,351.5,1.8,0,,,65.1
571,拳己,2018-12-22 19:00,5.8,357.3,1.7,0,,,59.5
571,拳己,2018-12-22 20:00,5.4,338.8,.8,0,,,61.3
571,拳己,2018-12-22 21:00,5.1,340.4,.6,0,,,60.5
571,拳己,2018-12-22 22:00,4.2,243.4,.6,0,,,67.1
571,拳己,2018-12-22 23:00,4.8,0,.3,0,,,63.9
571,拳己,2018-12-23 00:00,3.6,0,.2,0,,,69.8
571,拳己,2018-12-23 01:00,4.6,338,1,0,,,63.2
571,拳己,2018-12-23 02:00,4.2,308.8,1.2,0,,,65.6
571,拳己,2018-12-23 03:00,4.3,317.2,.8,0,,,62.6
571,拳己,2018-12-23 04:00,4.2,1.4,1.3,0,,,53.8
571,拳己,2018-12-23 05:00,4.1,21,1.5,0,,,54.7
571,拳己,2018-12-23 06:00,4,349.3,1.4,0,,,50.4
571,拳己,2018-12-23 07:00,2.2,151.3,.8,0,,,60.1
571,拳己,2018-12-23 08:00,2.1,78.9,.5,0,,,60.6
571,拳己,2018-12-23 09:00,4.4,34,.8,0,,,50.3
571,拳己,2018-12-23 10:00,5.4,326.5,2,0,,,37.7
571,拳己,2018-12-23 11:00,6.7,334.6,2.2,0,,,33.8
571,拳己,2018-12-23 12:00,6.9,310.8,2.3,0,,,34.1
571,拳己,2018-12-23 13:00,7.4,292.5,2.5,0,,,37.1
571,拳己,2018-12-23 14:00,7.8,278.5,2.8,0,,,30.1
571,拳己,2018-12-23 15:00,6.7,272.9,3.6,0,,,30
571,拳己,2018-12-23 16:00,6.4,269.6,2.4,0,,,27.9
571,拳己,2018-12-23 17:00,4.7,320.7,2.3,0,,,29.9
571,拳己,2018-12-23 18:00,2.9,232.7,.8,0,,,39.5
571,拳己,2018-12-23 19:00,2.2,341.4,2.8,0,,,35.4
571,拳己,2018-12-23 20:00,.8,324.6,1.5,0,,,36.8
571,拳己,2018-12-23 21:00,-.1,346.4,2,0,,,34.9
571,拳己,2018-12-23 22:00,-1.2,310.8,1.1,0,,,32.3
571,拳己,2018-12-23 23:00,-2,304.8,1.4,0,,,30.9
571,拳己,2018-12-24 00:00,-2.5,282.9,.9,0,,,32.7
571,拳己,2018-12-24 01:00,-3.1,314.2,.9,0,,,35.6
571,拳己,2018-12-24 02:00,-3,298.8,1.1,0,,,36.2
571,拳己,2018-12-24 03:00,-3.7,0,.4,0,,,40.1
571,拳己,2018-12-24 04:00,-5,0,.4,0,,,47.9
571,拳己,2018-12-24 05:00,-5.3,0,.3,0,,,48.9
571,拳己,2018-12-24 06:00,-6.3,0,0,0,,,53.6
571,拳己,2018-12-24 07:00,-6,0,.3,0,,,56.7
571,拳己,2018-12-24 08:00,-6.2,0,.1,0,,,59.6
571,拳己,2018-12-24 09:00,-2.8,0,.1,0,,,44.7
571,拳己,2018-12-24 10:00,-.5,96.5,.9,0,,,38.2
571,拳己,2018-12-24 11:00,-.1,306.8,2.1,0,,,40
571,拳己,2018-12-24 12:00,1.1,257.5,1.4,0,,,34.5
571,拳己,2018-12-24 13:00,1.9,342.8,1.5,0,,,21
571,拳己,2018-12-24 14:00,1.5,282.9,2.6,0,,,22.1
571,拳己,2018-12-24 15:00,2.5,277,2.1,0,,,18.4
571,拳己,2018-12-24 16:00,1.3,273.1,1.4,0,,,25.7
571,拳己,2018-12-24 17:00,.1,282.3,1.4,0,,,28.2
571,拳己,2018-12-24 18:00,-1.1,348,.6,0,,,30.3
571,拳己,2018-12-24 19:00,-2.4,0,.4,0,,,36.2
571,拳己,2018-12-24 20:00,-2.2,0,.3,0,,,32.3
571,拳己,2018-12-24 21:00,-3.1,32.1,.7,0,,,42.2
571,拳己,2018-12-24 22:00,-3.6,32.9,.8,0,,,43.7
571,拳己,2018-12-24 23:00,-5.9,0,.2,0,,,54.2
571,拳己,2018-12-25 00:00,-4.5,283.8,.7,0,,,45.4
571,拳己,2018-12-25 01:00,-5.6,0,.2,0,,,53
571,拳己,2018-12-25 02:00,-3.8,271.4,.8,0,,,40.7
571,拳己,2018-12-25 03:00,-4.6,245.6,.6,0,,,47.5
571,拳己,2018-12-25 04:00,-3,338.5,1.1,0,,,51
571,拳己,2018-12-25 05:00,-3.8,222.3,1.1,0,,,49.3
571,拳己,2018-12-25 06:00,-4.6,0,.1,0,,,49.8
571,拳己,2018-12-25 07:00,-3.6,214.7,1.4,0,,,43.7
571,拳己,2018-12-25 08:00,-3.6,220,1.1,0,,,44.3
571,拳己,2018-12-25 09:00,-2.3,189.2,1.3,0,,,40.7
571,拳己,2018-12-25 10:00,-.9,180.1,1.7,0,,,39.2
571,拳己,2018-12-25 11:00,.1,164,2.4,0,,,39.1
571,拳己,2018-12-25 12:00,1.3,177,1.9,0,,,38.6
571,拳己,2018-12-25 13:00,2.3,174.4,2.1,0,,,37.3
571,拳己,2018-12-25 14:00,3,198.7,2.1,0,,,45
571,拳己,2018-12-25 15:00,2.9,0,.3,0,,,57.6
571,拳己,2018-12-25 16:00,3.4,162.4,1.2,0,,,54.4
571,拳己,2018-12-25 17:00,2.7,193.3,1.3,0,,,56.8
571,拳己,2018-12-25 18:00,1.2,211.4,1,0,,,64.4
571,拳己,2018-12-25 19:00,.6,0,.4,0,,,67
571,拳己,2018-12-25 20:00,1.5,245.6,1,0,,,66.8
571,拳己,2018-12-25 21:00,2,211,.7,0,,,60.4
571,拳己,2018-12-25 22:00,2.4,217.3,.9,0,,,59.4
571,拳己,2018-12-25 23:00,2.2,223.9,.6,0,,,60.4
571,拳己,2018-12-26 00:00,2.2,246,.7,0,,,61.6
571,拳己,2018-12-26 01:00,2.2,238.1,.7,0,,,61.7
571,拳己,2018-12-26 02:00,2.3,255.9,.8,0,,,62.2
571,拳己,2018-12-26 03:00,1.1,0,.3,0,,,68.1
571,拳己,2018-12-26 04:00,1.2,204.8,.5,0,,,68.7
571,拳己,2018-12-26 05:00,.9,226.6,1.3,0,,,52.3
571,拳己,2018-12-26 06:00,-.2,342.8,1.3,0,,,48.3
571,拳己,2018-12-26 07:00,-.6,262.3,.8,0,,,48.8
571,拳己,2018-12-26 08:00,-1.2,264.3,.8,0,,,51.2
571,拳己,2018-12-26 09:00,-.5,312.8,1.1,0,,,49.4
571,拳己,2018-12-26 10:00,.5,343.5,2,0,,,40.7
571,拳己,2018-12-26 11:00,1.1,281.1,1.7,0,,,33.4
571,拳己,2018-12-26 12:00,2.2,337.5,1.6,0,,,30.5
571,拳己,2018-12-26 13:00,2,284.6,2.6,0,,,24.8
571,拳己,2018-12-26 14:00,1.5,282.1,2.5,0,,,20.5
571,拳己,2018-12-26 15:00,1.2,290.6,2.3,0,,,20.9
571,拳己,2018-12-26 16:00,.5,319.5,2.7,0,,,17.6
571,拳己,2018-12-26 17:00,-.9,266.4,1.2,0,,,19.7
571,拳己,2018-12-26 18:00,-1.6,307.3,1.1,0,,,21.7
571,拳己,2018-12-26 19:00,-1.8,334.4,2.2,0,,,25.9
571,拳己,2018-12-26 20:00,-2.2,313.6,1.8,0,,,27.1
571,拳己,2018-12-26 21:00,-2.9,309.8,1.6,0,,,26.9
571,拳己,2018-12-26 22:00,-3.3,350.1,1.7,0,,,35.7
571,拳己,2018-12-26 23:00,-4.2,2.2,2.5,0,,,32.4
571,拳己,2018-12-27 00:00,-5.4,266.5,1.4,0,,,31
571,拳己,2018-12-27 01:00,-6.7,327.9,2.5,0,,,30.7
571,拳己,2018-12-27 02:00,-7.4,269.8,1.1,0,,,36.2
571,拳己,2018-12-27 03:00,-7.8,243.3,.9,0,,,32.6
571,拳己,2018-12-27 04:00,-8.6,213.6,1,0,,,31.5
571,拳己,2018-12-27 05:00,-9,316.6,1.1,0,,,31.3
571,拳己,2018-12-27 06:00,-9.1,335.1,1.3,0,,,30.9
571,拳己,2018-12-27 07:00,-9.7,305.6,1.9,0,,,21.8
571,拳己,2018-12-27 08:00,-9.9,274.6,1.3,0,,,19
571,拳己,2018-12-27 09:00,-9.2,337,2.6,0,,,15
571,拳己,2018-12-27 10:00,-8.4,319.2,2,0,,,13
571,拳己,2018-12-27 11:00,-8,304.3,2.8,0,,,15.7
571,拳己,2018-12-27 12:00,-7.5,,,0,,,21.2
571,拳己,2018-12-27 13:00,-7,318.9,2.5,0,,,24.3
571,拳己,2018-12-27 14:00,-6.2,329.9,2.9,0,,,24.8
571,拳己,2018-12-27 15:00,-6.6,278.4,2.7,0,,,32.1
571,拳己,2018-12-27 16:00,-6.5,328.9,1.9,0,,,30.6
571,拳己,2018-12-27 17:00,-7.9,289.4,1.4,0,,,31
571,拳己,2018-12-27 18:00,-8.4,,,0,,,30.1
571,拳己,2018-12-27 19:00,-8.6,154.9,.7,0,,,35.3
571,拳己,2018-12-27 20:00,-8.3,326.7,1.5,0,,,41.8
571,拳己,2018-12-27 21:00,-9,341.5,2.2,0,,,46.4
571,拳己,2018-12-27 22:00,-9.5,343.1,1.7,0,,,50.4
571,拳己,2018-12-27 23:00,-10.6,62.4,1,0,,,46.8
571,拳己,2018-12-28 00:00,-11.3,208.1,1,0,,,49.4
571,拳己,2018-12-28 01:00,-11.6,191.2,1.1,0,,,46.5
571,拳己,2018-12-28 02:00,-11.4,339.2,1.2,0,,,44.6
571,拳己,2018-12-28 03:00,-11.3,322.4,1.2,0,,,43.9
571,拳己,2018-12-28 04:00,-12,146,.6,0,,,45.5
571,拳己,2018-12-28 05:00,-12.6,0,.3,0,,,47.6
571,拳己,2018-12-28 06:00,-13,0,.2,0,,,46.9
571,拳己,2018-12-28 07:00,-12.8,0,.4,0,,,45.8
571,拳己,2018-12-28 08:00,-12.8,134.6,.5,0,,,46
571,拳己,2018-12-28 09:00,-11.3,67,1.8,0,,,40.5
571,拳己,2018-12-28 10:00,-10,62.9,2.4,0,,,30.8
571,拳己,2018-12-28 11:00,-8.9,73.3,2.4,0,,,29.3
571,拳己,2018-12-28 12:00,-9,341.3,1.8,0,,,27.8
571,拳己,2018-12-28 13:00,-7.3,313.8,1.4,0,,,24.3
571,拳己,2018-12-28 14:00,-7.1,342.9,1.9,0,,,22.7
571,拳己,2018-12-28 15:00,-6.4,311,2.1,0,,,20
571,拳己,2018-12-28 16:00,-6.4,314.9,1.5,0,,,20.2
571,拳己,2018-12-28 17:00,-7.6,272.7,.8,0,,,25.4
571,拳己,2018-12-28 18:00,-9,0,.4,0,,,34.9
571,拳己,2018-12-28 19:00,-9.7,0,.1,0,,,40.6
571,拳己,2018-12-28 20:00,-10.4,0,0,0,,,45.2
571,拳己,2018-12-28 21:00,-10.3,0,.4,0,,,49.1
571,拳己,2018-12-28 22:00,-9.9,37.3,.6,0,,,50.2
571,拳己,2018-12-28 23:00,-8.5,81,.8,0,,,45.5
571,拳己,2018-12-29 00:00,-8,331.8,1.1,0,,,40.6
571,拳己,2018-12-29 01:00,-7.8,137,.9,0,,,37.6
571,拳己,2018-12-29 02:00,-7.9,103.5,.5,0,,,41.2
571,拳己,2018-12-29 03:00,-7.4,322.8,1.9,0,,,34.6
571,拳己,2018-12-29 04:00,-7.9,228.5,1.4,0,,,30.1
571,拳己,2018-12-29 05:00,-8.1,333.1,1.7,0,,,27.5
571,拳己,2018-12-29 06:00,-8.4,351.8,1.6,0,,,29.4
571,拳己,2018-12-29 07:00,-10,0,.3,0,,,34.3
571,拳己,2018-12-29 08:00,-9.8,0,.2,0,,,31
571,拳己,2018-12-29 09:00,-7.6,71.9,1.3,0,,,27.2
571,拳己,2018-12-29 10:00,-6.4,334.8,3,0,,,23.5
571,拳己,2018-12-29 11:00,-5.2,339.5,2.1,0,,,19.3
571,拳己,2018-12-29 12:00,-4.3,336.4,2.4,0,,,20.6
571,拳己,2018-12-29 13:00,-4.1,,,0,,,22.2
571,拳己,2018-12-29 14:00,-3.6,309.5,2.5,0,,,22.9
571,拳己,2018-12-29 15:00,-3.4,280.2,2,0,,,27
571,拳己,2018-12-29 16:00,-3.6,346.8,2.5,0,,,26.2
571,拳己,2018-12-29 17:00,-4.6,192.6,.7,0,,,30.9
571,拳己,2018-12-29 18:00,-5.5,255.5,1,0,,,35.3
571,拳己,2018-12-29 19:00,-6.1,0,.3,0,,,41.5
571,拳己,2018-12-29 20:00,-5.7,299.2,.9,0,,,43.8
571,拳己,2018-12-29 21:00,-6,357.2,1,0,,,47.1
571,拳己,2018-12-29 22:00,-6.1,346.7,2.3,0,,,49.8
571,拳己,2018-12-29 23:00,-7.2,276.4,1.6,0,,,42.5
571,拳己,2018-12-30 00:00,-8.4,272.8,.6,0,,,42
571,拳己,2018-12-30 01:00,-8.8,282.4,1,0,,,44.3
571,拳己,2018-12-30 02:00,-9.7,0,.2,0,,,49.1
571,拳己,2018-12-30 03:00,-9,94.2,.5,0,,,43.9
571,拳己,2018-12-30 04:00,-8.5,119.6,.6,0,,,39.9
571,拳己,2018-12-30 05:00,-9.3,223.1,.7,0,,,40.2
571,拳己,2018-12-30 06:00,-10.3,0,.1,0,,,42.1
571,拳己,2018-12-30 07:00,-11,,,0,,,47.4
571,拳己,2018-12-30 08:00,-10.5,25.6,.5,0,,,45.6
571,拳己,2018-12-30 09:00,-8.8,0,.3,0,,,41.7
571,拳己,2018-12-30 10:00,-6.6,68,2.8,0,,,29.4
571,拳己,2018-12-30 11:00,-5.7,309.8,1.6,0,,,27.3
571,拳己,2018-12-30 12:00,-4.7,74.2,1.8,0,,,22.8
571,拳己,2018-12-30 13:00,-2.2,109.1,1.2,0,,,20.7
571,拳己,2018-12-30 14:00,-1.9,186.7,2.2,0,,,20.9
571,拳己,2018-12-30 15:00,-2.2,225.6,2.5,0,,,24.6
571,拳己,2018-12-30 16:00,-2.6,233.3,2.4,0,,,26.3
571,拳己,2018-12-30 17:00,-4.1,301,1.5,0,,,31.1
571,拳己,2018-12-30 18:00,-5.1,352.2,1.3,0,,,35.9
571,拳己,2018-12-30 19:00,-5.5,0,.2,0,,,36.8
571,拳己,2018-12-30 20:00,-6.1,0,.2,0,,,41.9
571,拳己,2018-12-30 21:00,-6.4,23.3,.5,0,,,44.2
571,拳己,2018-12-30 22:00,-7.1,11.8,.7,0,,,47
571,拳己,2018-12-30 23:00,-7.7,34.6,1.3,0,,,49.7
571,拳己,2018-12-31 00:00,-8.4,36.9,1.5,0,,,52.4
571,拳己,2018-12-31 01:00,-9.2,43.3,1.5,0,,,53.9
571,拳己,2018-12-31 02:00,-9.5,33.7,1.1,0,,,53.8
571,拳己,2018-12-31 03:00,-9.5,22.3,.9,0,,,55.7
571,拳己,2018-12-31 04:00,-10.3,46.9,.9,0,,,57.9
571,拳己,2018-12-31 05:00,-10.6,29.8,.7,0,,,59
571,拳己,2018-12-31 06:00,-10.8,38.9,.7,0,,,60.2
571,拳己,2018-12-31 07:00,-10.8,0,.2,0,,,59.9
571,拳己,2018-12-31 08:00,-10.9,32.2,1.2,0,,,60.1
571,拳己,2018-12-31 09:00,-8.1,0,.4,0,,,51.6
571,拳己,2018-12-31 10:00,-5,168.4,.9,0,,,43.8
571,拳己,2018-12-31 11:00,-2.3,190.6,1.2,0,,,30.2
571,拳己,2018-12-31 12:00,-2.2,278,1.8,0,,,27.7
571,拳己,2018-12-31 13:00,-1.3,274.5,2.9,0,,,22
571,拳己,2018-12-31 14:00,-.2,292.2,1.3,0,,,20.9
571,拳己,2018-12-31 15:00,-.3,282.4,2.3,0,,,27.4
571,拳己,2018-12-31 16:00,-.6,303.8,2,0,,,36
571,拳己,2018-12-31 17:00,-1.5,342.2,1,0,,,45.3
571,拳己,2018-12-31 18:00,-2.5,333.2,1.2,0,,,50.3
571,拳己,2018-12-31 19:00,-3.6,0,.4,0,,,56.7
571,拳己,2018-12-31 20:00,-3.2,38.2,.6,0,,,56.4
571,拳己,2018-12-31 21:00,-3.5,0,.2,0,,,60.2
571,拳己,2018-12-31 22:00,-3.3,0,.1,0,,,61.2
571,拳己,2018-12-31 23:00,-1.8,253.5,1.5,0,,,52.1
571,拳己,2019-01-01 00:00,-2.9,293.5,.6,0,,,57.3
571,拳己,2019-01-01 01:00,-4.1,355.6,.7,0,,,59.7
571,拳己,2019-01-01 02:00,-5.5,273.3,.6,0,,,63.1
571,拳己,2019-01-01 03:00,-5.8,9.1,.7,0,,,64.9
571,拳己,2019-01-01 04:00,-6.6,6.8,.5,0,,,68.4
571,拳己,2019-01-01 05:00,-7.3,33.2,1.3,0,,,70.5
571,拳己,2019-01-01 06:00,-7.7,20.8,.6,0,,,70.1
571,拳己,2019-01-01 07:00,-7.2,32.9,.6,0,,,69.5
571,拳己,2019-01-01 08:00,-7,0,.2,0,,,68.5
571,拳己,2019-01-01 09:00,-5.9,0,.1,0,,,68.3
571,拳己,2019-01-01 10:00,-4,,,0,,,51.5
571,拳己,2019-01-01 11:00,-2.9,311.6,1.7,0,,,44.3
571,拳己,2019-01-01 12:00,-1.8,298.7,1.6,0,,,46.5
571,拳己,2019-01-01 13:00,-1.8,349.1,1.7,0,,,50.7
571,拳己,2019-01-01 14:00,-1.2,291.6,1.8,0,,,53.5
571,拳己,2019-01-01 15:00,-1.3,311.9,1.1,0,,,56.8
571,拳己,2019-01-01 16:00,-.6,285.9,2.6,0,,,46.7
571,拳己,2019-01-01 17:00,-1.4,281.3,3,0,,,46.1
571,拳己,2019-01-01 18:00,-2,274.5,1.8,0,,,48.1
571,拳己,2019-01-01 19:00,-2.6,297,.8,0,,,51.1
571,拳己,2019-01-01 20:00,-3.3,308.1,1.6,0,,,46.2
571,拳己,2019-01-01 21:00,-3.7,349.2,2.2,0,,,46.6
571,拳己,2019-01-01 22:00,-4.2,348,1.9,0,,,49.7
571,拳己,2019-01-01 23:00,-4.7,335.1,1.3,0,,,45.5
571,拳己,2019-01-02 00:00,-6.7,0,.3,0,,,52.4
571,拳己,2019-01-02 01:00,-8,0,.1,0,,,60
571,拳己,2019-01-02 02:00,-7.4,25.5,1.2,0,,,57.9
571,拳己,2019-01-02 03:00,-8.3,26.8,.5,0,,,61.1
571,拳己,2019-01-02 04:00,-8.6,43.4,.5,0,,,63.2
571,拳己,2019-01-02 05:00,-8.6,35.1,1,0,,,63.9
571,拳己,2019-01-02 06:00,-9.9,0,.2,0,,,66.2
571,拳己,2019-01-02 07:00,-9.5,0,0,0,,,66.5
571,拳己,2019-01-02 08:00,-9.1,24.4,.6,0,,,65.4
571,拳己,2019-01-02 09:00,-6.5,33.4,1.2,0,,,57.9
571,拳己,2019-01-02 10:00,-3.1,179.6,.8,0,,,42.1
571,拳己,2019-01-02 11:00,-1.9,335.5,1.6,0,,,48
571,拳己,2019-01-02 12:00,-.7,4.4,1.2,0,,,44.1
571,拳己,2019-01-02 13:00,-.4,331.1,2,0,,,29
571,拳己,2019-01-02 14:00,-.4,296.7,2.1,0,,,18.4
571,拳己,2019-01-02 15:00,-.1,331.2,1.7,0,,,22.2
571,拳己,2019-01-02 16:00,-.6,356.8,1.4,0,,,29.7
571,拳己,2019-01-02 17:00,-2.3,321.2,1.1,0,,,36.3
571,拳己,2019-01-02 18:00,-3.7,266.2,.9,0,,,46.9
571,拳己,2019-01-02 19:00,-3.7,298.5,.5,0,,,48.7
571,拳己,2019-01-02 20:00,-5.3,0,0,0,,,54.6
571,拳己,2019-01-02 21:00,-5.1,36.3,1.5,0,,,54
571,拳己,2019-01-02 22:00,-6.2,0,0,0,,,57.6
571,拳己,2019-01-02 23:00,-5.2,0,.3,0,,,57.6
571,拳己,2019-01-03 00:00,-5,345.7,.6,0,,,51.4
571,拳己,2019-01-03 01:00,-6.3,24.6,.7,0,,,57.6
571,拳己,2019-01-03 02:00,-6.9,0,.2,0,,,55.5
571,拳己,2019-01-03 03:00,-7.2,18.3,.6,0,,,56.3
571,拳己,2019-01-03 04:00,-7.6,0,.2,0,,,56.5
571,拳己,2019-01-03 05:00,-8.5,0,0,0,,,61.4
571,拳己,2019-01-03 06:00,-8.4,33.4,1.4,0,,,61
571,拳己,2019-01-03 07:00,-8.3,28.1,1.3,0,,,61.2
571,拳己,2019-01-03 08:00,-8.7,43.5,.6,0,,,63.1
571,拳己,2019-01-03 09:00,-5.8,,,0,,,50.8
571,拳己,2019-01-03 10:00,-2.6,355.8,.7,0,,,34.9
571,拳己,2019-01-03 11:00,-1.1,279.4,1.4,0,,,28.6
571,拳己,2019-01-03 12:00,.6,274.4,2.5,0,,,20.1
571,拳己,2019-01-03 13:00,1.4,32.3,1.7,0,,,19.5
571,拳己,2019-01-03 14:00,3.3,307.2,1.1,0,,,17.9
571,拳己,2019-01-03 15:00,2.7,293.4,1.6,0,,,16.1
571,拳己,2019-01-03 16:00,2.4,288.5,2,0,,,16.4
571,拳己,2019-01-03 17:00,.5,210.8,1.9,0,,,29.8
571,拳己,2019-01-03 18:00,-1,269.8,1.7,0,,,36.9
571,拳己,2019-01-03 19:00,-1.4,329.4,.7,0,,,39.8
571,拳己,2019-01-03 20:00,-1.7,16.1,.6,0,,,41.5
571,拳己,2019-01-03 21:00,-3.1,0,.1,0,,,48.2
571,拳己,2019-01-03 22:00,-4.7,,,0,,,54.1
571,拳己,2019-01-03 23:00,-4.5,40.5,1.5,0,,,56.5
571,拳己,2019-01-04 00:00,-4.7,34.5,1.7,0,,,57.5
571,拳己,2019-01-04 01:00,-5.1,30.4,1.2,0,,,58.7
571,拳己,2019-01-04 02:00,-6.5,0,.2,0,,,62.3
571,拳己,2019-01-04 03:00,-4.9,256.6,.9,0,,,53.6
571,拳己,2019-01-04 04:00,-6.6,0,.3,0,,,61.1
571,拳己,2019-01-04 05:00,-6.3,290.5,.6,0,,,59.4
571,拳己,2019-01-04 06:00,-6.8,0,.2,0,,,62.2
571,拳己,2019-01-04 07:00,-5.7,296.5,.5,0,,,57.6
571,拳己,2019-01-04 08:00,-5.8,264.7,.5,0,,,58.4
571,拳己,2019-01-04 09:00,-3.8,232.8,1,0,,,56.2
571,拳己,2019-01-04 10:00,-1.6,39.7,.5,0,,,46.5
571,拳己,2019-01-04 11:00,.5,0,.3,0,,,38.5
571,拳己,2019-01-04 12:00,.7,198.1,1.7,0,,,40.5
571,拳己,2019-01-04 13:00,1.6,207.2,2,0,,,44.3
571,拳己,2019-01-04 14:00,2.7,216.1,1.9,0,,,45.7
571,拳己,2019-01-04 15:00,3.6,236.9,.7,0,,,45.7
571,拳己,2019-01-04 16:00,3,207.1,.9,0,,,51.9
571,拳己,2019-01-04 17:00,2.5,186.3,.9,0,,,55.1
571,拳己,2019-01-04 18:00,.3,0,0,0,,,62.7
571,拳己,2019-01-04 19:00,-1,0,.2,0,,,67.7
571,拳己,2019-01-04 20:00,-1.1,271.2,.6,0,,,70.1
571,拳己,2019-01-04 21:00,-1.3,0,.4,0,,,71.6
571,拳己,2019-01-04 22:00,-1.5,0,.1,0,,,73.2
571,拳己,2019-01-04 23:00,-2.4,0,.1,0,,,78.7
571,拳己,2019-01-05 00:00,-2.3,0,0,0,,,81.1
571,拳己,2019-01-05 01:00,-2.1,0,.2,0,,,82
571,拳己,2019-01-05 02:00,-1.2,194.1,.8,0,,,75.8
571,拳己,2019-01-05 03:00,-.9,351.9,1.7,0,,,76.4
571,拳己,2019-01-05 04:00,-2.9,204.7,.6,0,,,68.1
571,拳己,2019-01-05 05:00,-4.2,0,.3,0,,,58.6
571,拳己,2019-01-05 06:00,-3.3,107.4,.8,0,,,47
571,拳己,2019-01-05 07:00,-5.9,0,.1,0,,,57.8
571,拳己,2019-01-05 08:00,-5.4,141.4,.5,0,,,54.6
571,拳己,2019-01-05 09:00,-2.8,,,0,,,42.5
571,拳己,2019-01-05 10:00,-1.5,321.2,1.6,0,,,37.3
571,拳己,2019-01-05 11:00,-1.8,277.2,2.6,0,,,31.8
571,拳己,2019-01-05 12:00,-1.1,318.3,1.9,0,,,28.2
571,拳己,2019-01-05 13:00,-.3,334.8,1.8,0,,,26.4
571,拳己,2019-01-05 14:00,-.4,281.2,2.4,0,,,28.5
571,拳己,2019-01-05 15:00,.4,271.1,2.1,0,,,27
571,拳己,2019-01-05 16:00,-.1,305.3,2.3,0,,,25.9
571,拳己,2019-01-05 17:00,-1.4,259.9,2.2,0,,,26.8
571,拳己,2019-01-05 18:00,-2.6,175.3,.5,0,,,29.4
571,拳己,2019-01-05 19:00,-2.3,328.1,.8,0,,,30.2
571,拳己,2019-01-05 20:00,-2.6,279.2,1.1,0,,,30.5
571,拳己,2019-01-05 21:00,-5.1,0,.2,0,,,40.3
571,拳己,2019-01-05 22:00,-6.4,185.3,.6,0,,,46.9
571,拳己,2019-01-05 23:00,-5.8,34.9,1.2,0,,,45.8
571,拳己,2019-01-06 00:00,-6.2,34.5,1.6,0,,,48.8
571,拳己,2019-01-06 01:00,-6.3,32.8,.9,0,,,47.3
571,拳己,2019-01-06 02:00,-5.4,33.6,1.3,0,,,39.2
571,拳己,2019-01-06 03:00,-5.1,17.5,.8,0,,,35.2
571,拳己,2019-01-06 04:00,-5.5,0,.4,0,,,35.1
571,拳己,2019-01-06 05:00,-5.7,33,1.1,0,,,38
571,拳己,2019-01-06 06:00,-6,55,1.5,0,,,40.3
571,拳己,2019-01-06 07:00,-5.9,0,.2,0,,,41.8
571,拳己,2019-01-06 08:00,-7,0,.3,0,,,51.8
571,拳己,2019-01-06 09:00,-5.9,0,.4,0,,,46.3
571,拳己,2019-01-06 10:00,-3.6,0,.4,0,,,35.7
571,拳己,2019-01-06 11:00,-1.1,198.2,.6,0,,,29.1
571,拳己,2019-01-06 12:00,.5,205,1.5,0,,,26
571,拳己,2019-01-06 13:00,1.7,38.5,1.2,0,,,23.6
571,拳己,2019-01-06 14:00,1.4,329.7,1.7,0,,,28.9
571,拳己,2019-01-06 15:00,1.8,7.2,1.1,0,,,27.9
571,拳己,2019-01-06 16:00,1.3,325.7,1.6,0,,,33.2
571,拳己,2019-01-06 17:00,-.1,341.8,1.2,0,,,41.7
571,拳己,2019-01-06 18:00,-2,0,.4,0,,,47.6
571,拳己,2019-01-06 19:00,-1.7,0,.4,0,,,48.8
571,拳己,2019-01-06 20:00,-3.5,0,.1,0,,,57
571,拳己,2019-01-06 21:00,-4.1,35.6,.7,0,,,60.4
571,拳己,2019-01-06 22:00,-5,0,.2,0,,,63.9
571,拳己,2019-01-06 23:00,-5,28.1,.6,0,,,64.1
571,拳己,2019-01-07 00:00,-5,0,.2,0,,,65.3
571,拳己,2019-01-07 01:00,-6.5,0,0,0,,,68.8
571,拳己,2019-01-07 02:00,-5.6,0,.2,0,,,68.3
571,拳己,2019-01-07 03:00,-5.8,37.1,.8,0,,,71.2
571,拳己,2019-01-07 04:00,-6.1,0,0,0,,,74.2
571,拳己,2019-01-07 05:00,-7.1,0,.3,0,,,77.3
571,拳己,2019-01-07 06:00,-6.6,36.7,1.6,0,,,75.6
571,拳己,2019-01-07 07:00,-7.6,0,.2,0,,,78.6
571,拳己,2019-01-07 08:00,-6.9,39.3,.7,0,,,79.3
571,拳己,2019-01-07 09:00,-4.9,0,.2,0,,,78.9
571,拳己,2019-01-07 10:00,-3,189.9,1.5,0,,,70.4
571,拳己,2019-01-07 11:00,0,200.2,.9,0,,,55.7
571,拳己,2019-01-07 12:00,1.4,296,1.6,0,,,43.7
571,拳己,2019-01-07 13:00,2.2,276.7,2.4,0,,,42.8
